probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.20857609431106372,0.5066665066477072,0.8714705080697999,10000.0,0.18153684030013462
direct_other_mean,0.07110047033504574,0.27110691791288316,0.9604608427102855,10000.0,0.050203727421965105
direct_register_flat,0.05694169744347399,0.26528407033829465,0.9649878526090346,10000.0,0.03835951075264388
direct_nonself,0.05070223876549407,0.2611245402515022,0.9675921400368537,10000.0,0.03155837777467996
direct_all,0.1951669404366333,0.4659392015961467,0.8814371204390152,10000.0,0.15986787217076348
routed_self,0.15395351645772648,0.41935219736441415,0.8967629760282728,10000.0,0.14212180998150048
routed_other,0.08822398272755749,0.2736158836942287,0.9545838378014037,10000.0,0.07313831982848318
routed_register,0.028868359131585697,0.23840590139649712,0.9804740782187429,10000.0,0.015361396875377409
routed_nonself,0.0985388710395182,0.3279954022042816,0.946041277125195,10000.0,0.07654931677247645
routed_all_concat,0.21470713924770235,0.49529768359597504,0.8654035775162003,10000.0,0.19014633571725814
routed_sum,0.22123224514776818,0.5089232180610391,0.8647204672463374,10000.0,0.21117578551192617
direct_unique_self_delta_r2,0.14446470167113923,,,,
routed_unique_self_delta_r2,0.11616826820818416,,,,
