probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.22948779013716314,0.5014933908643282,0.8595165551058526,10000.0,0.1888093882214691
direct_other_mean,0.026998558824398167,0.23772148376992017,0.9846095002478495,1000000.0,0.023545224804265352
direct_register_flat,0.055655139279291554,0.27033144930631076,0.9660736645685789,1000000.0,0.047884886449812814
direct_nonself,0.06131588957289247,0.2824928933530153,0.9627137370078733,1000000.0,0.05294834051898645
direct_all,0.1628147712625463,0.4305960528155521,0.9053108430517199,10000.0,0.12125945122440107
routed_self,0.1441346819034529,0.4010422676562928,0.9013320180091169,10000.0,0.13932985892372962
routed_other,0.08238379529962825,0.2708957431683611,0.9571687950554024,10000.0,0.0712711954499321
routed_register,0.04683189971255752,0.2862452547305442,0.971862712677223,10000.0,0.04303556326934865
routed_nonself,0.1058573844650279,0.35052611838427133,0.9419294249921059,10000.0,0.09149186801980935
routed_all_concat,0.21577659972522434,0.5010276601560442,0.8640799499073151,10000.0,0.19976956662483814
routed_sum,0.22570583561859836,0.5218454095646905,0.8615082268563606,10000.0,0.22049418844824153
direct_unique_self_delta_r2,0.10149888168965382,,,,
routed_unique_self_delta_r2,0.10991921526019643,,,,
