probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.22647069575316936,0.4973673702217325,0.8618676956033077,10000.0,0.1819698452010774
direct_other_mean,0.025626680466645846,0.23319362203480817,0.9853737546791049,1000000.0,0.022191685858726773
direct_register_flat,0.05404664231030776,0.2692879006662032,0.9671870646640425,1000000.0,0.04608092231413141
direct_nonself,0.059511817224706776,0.2812227122856589,0.9639056155236532,1000000.0,0.05106775681090636
direct_all,0.15975307609577827,0.4256591094962534,0.9069871389473063,10000.0,0.11768709741244221
routed_self,0.14228406569776386,0.4007468571824557,0.9022458286907207,10000.0,0.1387836635732299
routed_other,0.0769858744071169,0.26126696260652427,0.959990417585085,10000.0,0.06956458270748078
routed_register,0.04877184102501597,0.2844987360708864,0.9711141413037994,10000.0,0.043191014579897824
routed_nonself,0.10274948359464087,0.34400404889719066,0.9437355050728252,10000.0,0.09232095461303069
routed_all_concat,0.21164302679878055,0.49696070019971833,0.8662640037824354,10000.0,0.20070601223047968
routed_sum,0.22211193331190449,0.5193161920516702,0.8636457493703319,10000.0,0.21939466422610132
direct_unique_self_delta_r2,0.10024125887107149,,,,
routed_unique_self_delta_r2,0.10889354320413969,,,,
