probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.23538657691284492,0.5081505362033559,0.855653371586924,10000.0,0.1914179789532533
direct_other_mean,0.02836619157654996,0.23847327590826578,0.9837556275709112,1000000.0,0.02470674033210518
direct_register_flat,0.057539305077699776,0.2711455256080594,0.964856322116631,1000000.0,0.04951459043318496
direct_nonself,0.06319920848088256,0.2832254215692593,0.9614821430798629,1000000.0,0.054612666783604435
direct_all,0.1611631146034178,0.43116060146836477,0.9066157732283444,10000.0,0.11799739036259216
routed_self,0.15033229845196205,0.41185750084292366,0.8974496827728097,10000.0,0.14133974312032116
routed_other,0.08269829170085952,0.2736679559765463,0.9568319555868459,10000.0,0.07240319056608369
routed_register,0.046870248312218865,0.28910403114139577,0.9715801265136366,10000.0,0.04186939657447086
routed_nonself,0.10480810162725496,0.34955255077126757,0.9421905979748764,10000.0,0.09065857392423726
routed_all_concat,0.2186937875721353,0.5043686982696004,0.8616770678559814,10000.0,0.19845346268336794
routed_sum,0.22834044185781877,0.523165823859597,0.8597208984404212,10000.0,0.2197714737982106
direct_unique_self_delta_r2,0.09796390612253525,,,,
routed_unique_self_delta_r2,0.11388568594488035,,,,
