probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.234001334644394,0.505193293117207,0.8570965288300545,10000.0,0.1910747660205966
direct_other_mean,0.027986253417836005,0.23444356889037574,0.9840482615918229,1000000.0,0.024064715197851805
direct_register_flat,0.056185759616962816,0.26964738382551323,0.965803437115548,1000000.0,0.04952948273397151
direct_nonself,0.061906205731210084,0.28184669687362085,0.962392295274574,1000000.0,0.054479901768145655
direct_all,0.1640164709176919,0.43040713259350566,0.9046186194256208,10000.0,0.12423375821756566
routed_self,0.15020416533828407,0.41168334149945496,0.8976783150800351,10000.0,0.1446621012155901
routed_other,0.0899825433968029,0.2832766054527768,0.9536208619264319,10000.0,0.07730941009532677
routed_register,0.04932239205348832,0.294987422009435,0.9698706418242622,10000.0,0.033062789813620874
routed_nonself,0.11250918148656097,0.36113489726639514,0.9383086572654923,10000.0,0.08951355819343298
routed_all_concat,0.22361006986356613,0.5082349749728661,0.8597130757497679,10000.0,0.2007829638138362
routed_sum,0.2314441717890693,0.5262503005834475,0.8580413431526518,10000.0,0.22365536268900066
direct_unique_self_delta_r2,0.10211026518648181,,,,
routed_unique_self_delta_r2,0.11110088837700516,,,,
