probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.23922416574784144,0.515371892357792,0.852295698228513,10000.0,0.2050862444146403
direct_other_mean,0.019117969683875913,0.23638645573197115,0.9890139481012304,1000000.0,0.01648859801099678
direct_register_flat,0.05075814766772646,0.26102513833261315,0.9682258942424262,10000.0,0.033229584184960026
direct_nonself,0.045034823161474224,0.2759349776463323,0.9731424549478052,1000000.0,0.03905726051767644
direct_all,0.19413508869402007,0.46281272730460266,0.8843572159574424,10000.0,0.15580457868061848
routed_self,0.1498219535688744,0.4066967399608671,0.8979702412858057,10000.0,0.1439279515868792
routed_other,0.08441860954454883,0.27414081692485165,0.9560250835944616,10000.0,0.0733495194296403
routed_register,0.04074789774227505,0.27200181656732186,0.9742780387086858,10000.0,0.02607442279986516
routed_nonself,0.10225070012184145,0.3410185399229222,0.9433137963657656,10000.0,0.08026509035106288
routed_all_concat,0.21531051349163677,0.49889729744007494,0.8637738677915988,10000.0,0.1915702937863908
routed_sum,0.22532799946147564,0.5175717356778585,0.8614002449734823,10000.0,0.21692943961188305
direct_unique_self_delta_r2,0.14910026553254585,,,,
routed_unique_self_delta_r2,0.11305981336979531,,,,
