probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.22950733513299804,0.5059068049818176,0.8573416597806751,10000.0,0.19607844020720377
direct_other_mean,0.017757810462915358,0.2337600037544287,0.9898228340228389,1000000.0,0.015208325816086665
direct_register_flat,0.052484193510686006,0.2589774005042763,0.9674020563719461,10000.0,0.036715682015479145
direct_nonself,0.042026225815606666,0.27473691400917677,0.9750146338038376,1000000.0,0.0359895611938672
direct_all,0.1869139166305145,0.45481398056735545,0.8877865747216328,10000.0,0.15222791645843536
routed_self,0.14762699178470406,0.3994828306804375,0.8997777761809551,10000.0,0.14111905896104426
routed_other,0.08590023449470519,0.2726669898438618,0.9553579669232787,10000.0,0.072086362679595
routed_register,0.03737233272855467,0.26247825511792383,0.9768855540737519,10000.0,0.02116170330263123
routed_nonself,0.10173800777884445,0.3376376593699464,0.9444019952063224,10000.0,0.07865115254561283
routed_all_concat,0.2163873891504675,0.5009396940666184,0.8639253519493849,10000.0,0.19224493577351554
routed_sum,0.22702853569966253,0.521709118957847,0.8606685556698296,10000.0,0.2195562605202369
direct_unique_self_delta_r2,0.14488769081490782,,,,
routed_unique_self_delta_r2,0.11464938137162306,,,,
