target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.10147847915211183,0.6455694261597258,0.7574245598877803,10000.0
raw,P1_ovt_slot0,0.10147847915211183,0.6455694261597258,0.7574245598877803,10000.0
raw,P2_llm_image_stream,0.35579841419594815,0.7651853166996482,0.6332782376687794,10000.0
raw,P3_word_only,0.19102179383237972,0.689293899740965,0.7203399416081886,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,0.004124320275035163,0.9999999999968116,
instance_residual,P1_ovt_text_stream,0.014717019820115418,0.1354186871403016,0.9893245494642663,100000.0
instance_residual,P1_ovt_slot0,0.014717019820115418,0.1354186871403016,0.9893245494642663,100000.0
instance_residual,P2_llm_image_stream,0.16634085670056387,0.43308139418045205,0.9003330277225369,10000.0
instance_residual,P4_raw_siglip,0.3342648892024679,0.6158881134283568,0.7835394522939323,100.0
