target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.6049150916964934,0.7929648929138438,
raw,P1_ovt_text_stream,0.2749241447125358,0.7396491926778272,0.661961069007627,10000.0
raw,P1_ovt_slot0,0.2749241447125358,0.7396491926778272,0.661961069007627,10000.0
raw,P2_llm_image_stream,0.36428921165599437,0.7776532615876396,0.6177613308596445,10000.0
raw,P3_word_only,0.19535697840253607,0.7036348656516813,0.7031753275802384,0.1
raw,P4_raw_siglip,0.5624666300000107,0.8604145562578185,0.49146811263458307,100.0
instance_residual,P0_mean_floor,0.0,-0.0005804309987158103,0.9999999999998479,
instance_residual,P1_ovt_text_stream,0.11727159600865877,0.3687626663585757,0.9267829000210476,10000.0
instance_residual,P1_ovt_slot0,0.11727159600865877,0.3687626663585757,0.9267829000210476,10000.0
instance_residual,P2_llm_image_stream,0.19098300751019592,0.4634840469565756,0.8867812469899843,10000.0
instance_residual,P4_raw_siglip,0.399706223633,0.6642143328716972,0.7417941517975606,100.0
