probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.1355814524984914,0.399556495385236,0.9173455915918282,10000.0,0.11186556188435082
direct_other_mean,0.04984412010367356,0.2281180098307828,0.9726498108687003,10000.0,0.027041201990025243
direct_register_flat,0.014271864627488307,0.19895795898694998,0.9916094719837044,1000000.0,0.011819822944068026
direct_nonself,0.017897218548837412,0.21698489984058317,0.9894486110845915,1000000.0,0.014757482849536707
direct_all,0.12845344865177044,0.3761918709952551,0.9239362134589125,10000.0,0.08799384454405113
routed_self,0.10396086483693201,0.3336317550366396,0.93114725757353,10000.0,0.09630658574651174
routed_other,0.057298354357869785,0.2276080448896199,0.9700557151013012,10000.0,0.04245848822438192
routed_register,0.023422972892710003,0.20074275854415286,0.9839899263827175,10000.0,0.005836872278487282
routed_nonself,0.06570703820363522,0.2743315483775128,0.9630697556876442,10000.0,0.04022409366125068
routed_all_concat,0.1421455666886967,0.40424829545880836,0.9107716624844369,10000.0,0.11565361455986034
routed_sum,0.15110926991725115,0.4155243806940611,0.9079584480815478,10000.0,0.13877942964944168
direct_unique_self_delta_r2,0.11055623010293303,,,,
routed_unique_self_delta_r2,0.0764385284850615,,,,
