probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.13533480198692793,0.4004590346646012,0.9182945242163914,10000.0,0.14220809857324002
direct_other_mean,0.06095769029589071,0.2730019716544607,0.9601858419901553,10000.0,0.05314659389993048
direct_register_flat,0.05517887717753711,0.27464681417305903,0.9623539794881836,10000.0,0.036521509764455784
direct_nonself,0.05676091498121405,0.2800840530591408,0.96109935570706,10000.0,0.038573655559523745
direct_all,0.13889113210242598,0.3979267403933912,0.9165131976544492,10000.0,0.1321494692716345
routed_self,0.11131249043175517,0.36516190415336347,0.9317261817311447,10000.0,0.13589687226203617
routed_other,0.049057473112002925,0.2508362297321507,0.9726559920204599,10000.0,0.03610653162583599
routed_register,0.058740724727390226,0.29658296103275994,0.9558298044815217,10000.0,0.05864444958225945
routed_nonself,0.08034339404251067,0.3228744782588114,0.945887873496904,10000.0,0.07043934948041553
routed_all_concat,0.14828630172320711,0.4161426291030706,0.9076113811037373,10000.0,0.15849392718223554
routed_sum,0.15422923086014895,0.42602191337964374,0.9056898750373438,10000.0,0.1592170405533917
direct_unique_self_delta_r2,0.08213021712121193,,,,
routed_unique_self_delta_r2,0.06794290768069644,,,,
