probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.136182878921553,0.39703222281539413,0.9193391960573225,10000.0,0.1409793825543949
direct_other_mean,0.061520805732165895,0.2731990485983021,0.959984110980216,10000.0,0.05315871626048063
direct_register_flat,0.05016080307931625,0.2698481793603422,0.9655466179930642,10000.0,0.028794022843505185
direct_nonself,0.05155331386486439,0.2761454882648217,0.9644212622861783,10000.0,0.032764059311072846
direct_all,0.13601415729216593,0.39412265258306434,0.9193422144914403,10000.0,0.1262553394049396
routed_self,0.11012158808344141,0.3692143373906658,0.9323829248303852,10000.0,0.13086826243519956
routed_other,0.05455104553320256,0.2546398233249081,0.9696955784373353,10000.0,0.03739489291207898
routed_register,0.05497823407744995,0.28546462302679354,0.9581448714667103,10000.0,0.056027737487852725
routed_nonself,0.0812549710759276,0.319271204917154,0.9461837279934817,10000.0,0.0678036093490163
routed_all_concat,0.14480681166858456,0.41002646091466116,0.9104231352878723,10000.0,0.1492235851263488
routed_sum,0.14795669029260572,0.41608792633040265,0.9100740649080237,10000.0,0.15098638302203982
direct_unique_self_delta_r2,0.08446084342730154,,,,
routed_unique_self_delta_r2,0.06355184059265695,,,,
