probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.15566619774481116,0.42886985009617373,0.9052744418255116,10000.0,0.15756539044686724
direct_other_mean,0.07349788420917325,0.2979541427146202,0.9517218767067199,10000.0,0.0646892178267684
direct_register_flat,0.05273655281182066,0.2723318988222457,0.9639957504357153,10000.0,0.034459194611220045
direct_nonself,0.05459991518751939,0.2799744824660923,0.9623868290327346,10000.0,0.036375444995325634
direct_all,0.1432457603984577,0.4050820085237249,0.9139561007993476,10000.0,0.12874503079363087
routed_self,0.12386513943848054,0.3905054830442488,0.9243127535876154,10000.0,0.13576750700336282
routed_other,0.0631166744334758,0.27977390972980976,0.9645238315556688,10000.0,0.04407797573088068
routed_register,0.057985017971812325,0.2922661399665641,0.955958739687023,10000.0,0.06151867217195928
routed_nonself,0.09189543584368964,0.34071242573664157,0.9398908511150614,10000.0,0.07637703850909672
routed_all_concat,0.16196627910012695,0.4303048212644352,0.8998349354412172,10000.0,0.15277803530818945
routed_sum,0.1627311932231199,0.43453008928164333,0.9010962388392293,10000.0,0.1614261986897868
direct_unique_self_delta_r2,0.08864584521093832,,,,
routed_unique_self_delta_r2,0.07007084325643731,,,,
