probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.07028218281836796,0.2882207288328504,0.9543351020375905,10000.0,0.05925574502494213
direct_other_mean,0.07706020846935313,0.3036258596776527,0.9487284681575883,10000.0,0.06611896055885735
direct_register_flat,0.06266713872743312,0.28848244001425566,0.9582448509759227,10000.0,0.04354662840622858
direct_nonself,0.06519368635502276,0.2962984553190513,0.9568106593466131,10000.0,0.043457941871635875
direct_all,0.06540621934043278,0.30062088401979997,0.9569440508333997,10000.0,0.039848152321919295
routed_self,0.028395115231202306,0.22460141772126846,0.9800311273325675,10000.0,0.0225725887105912
routed_other,0.07742172254222623,0.30714807744359374,0.9514997298638352,10000.0,0.06263710426873315
routed_register,0.05213909748645085,0.28636850336878744,0.9650677472033196,10000.0,0.04651756820962738
routed_nonself,0.09078172892681868,0.33496092012087747,0.9421512741746406,10000.0,0.07749038365981686
routed_all_concat,0.09323759054964653,0.34031830516246697,0.9397864542678896,10000.0,0.07544969914614996
routed_sum,0.10141854469108569,0.34836114387047895,0.9332481030344115,10000.0,0.09220697180498083
direct_unique_self_delta_r2,0.00021253298541001886,,,,
routed_unique_self_delta_r2,0.0024558616228278485,,,,
