target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.2335880048323712,0.7101071777938196,0.6997702945285222,100000.0
raw,P1_ovt_slot0,0.2335880048323712,0.7101071777938196,0.6997702945285222,100000.0
raw,P1b_e8_visual_memory,0.28087232955228203,0.7330123582270198,0.671176325977598,100.0
raw,P2_llm_image_stream,0.31771621744592804,0.7494818870310145,0.6517457803510557,10000.0
raw,P3_word_only,0.1910525471289698,0.6893035096034026,0.7203399191075148,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,0.0026756476141095525,0.9999999999976071,
instance_residual,P1_ovt_text_stream,0.06851830536398484,0.28748930857280863,0.9593524349492947,100000.0
instance_residual,P1_ovt_slot0,0.06851830536398484,0.28748930857280863,0.9593524349492947,100000.0
instance_residual,P1b_e8_visual_memory,0.11896659137997445,0.36511395261236135,0.9265896647102582,100.0
instance_residual,P2_llm_image_stream,0.14444643245393562,0.4078797965965057,0.9116986617649128,10000.0
instance_residual,P4_raw_siglip,0.3343029725136931,0.6159277558814003,0.7835032034949401,100.0
