probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.05280986085169326,0.2440396915639216,0.9701139136653522,10000.0,0.030532210060115195
direct_other_mean,0.012524444201269969,0.12277647152108742,0.9941184383693522,10000.0,-0.008368590758021544
direct_register_flat,0.009785224064801645,0.13859092880088517,0.9964316477254941,10000.0,-0.02700348155447374
direct_nonself,0.004502412266791156,0.13646661561036882,0.9990241598330547,10000.0,-0.034121567046305756
direct_all,0.04767675322505538,0.23116811638996543,0.9750818549783841,10000.0,-0.0020569086270454395
routed_self,0.05119121794910486,0.22500940340381717,0.9686741620841374,10000.0,0.03908047222985833
routed_other,0.027320707568472047,0.15428184697175404,0.9861948232490824,10000.0,0.012188697630805545
routed_register,0.013494784452830366,0.14779627643011028,0.9919138573716566,10000.0,-0.00621360014680139
routed_nonself,0.032846276004428465,0.1931970811199955,0.9822882782149531,10000.0,0.004210005938405814
routed_all_concat,0.07172234584148951,0.2860225980005096,0.9578727499528873,10000.0,0.03413175395519574
routed_sum,0.08057460139075046,0.29779195155499566,0.9545899786981752,10000.0,0.06407634623858272
direct_unique_self_delta_r2,0.04317434095826422,,,,
routed_unique_self_delta_r2,0.038876069837061045,,,,
