probe,r2,cosine,rel_l2,lambda,validation_r2
direct_self,0.11817898135625915,0.36740056273580424,0.9291995906526505,10000.0,0.09489798029438001
direct_other_mean,0.039830618729020606,0.20917075030648222,0.9790168485239572,10000.0,0.02085683465244914
direct_register_flat,0.014663416574686727,0.18482770458911818,0.9913341844816127,1000000.0,0.012322951098266977
direct_nonself,0.01858989553998891,0.20381977616853217,0.9890442652338315,1000000.0,0.015624739819757094
direct_all,0.09390689258651952,0.334487950845369,0.9469521447397824,10000.0,0.048678583622952964
routed_self,0.09251411413532062,0.3161703777260324,0.9405934312791981,10000.0,0.08296520220324854
routed_other,0.055050736719481796,0.2248360753109015,0.9713683083550011,10000.0,0.04116704392826043
routed_register,0.0034118329406918058,0.12070887637665108,0.998211658303804,1000000.0,0.0032492601139775257
routed_nonself,0.05982693742789602,0.26220794329770974,0.9672518135231428,10000.0,0.0348133707149898
routed_all_concat,0.1263328340735861,0.38270313047841825,0.923195431796023,10000.0,0.09740411557433915
routed_sum,0.13643975416511667,0.39271708925200344,0.919348244366723,10000.0,0.12097715792120445
direct_unique_self_delta_r2,0.07531699704653061,,,,
routed_unique_self_delta_r2,0.06650589664569007,,,,
