wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                
{'loss': 7546.0, 'learning_rate': 2.0000000000000003e-06, 'loss_full': 7864.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.849609375, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 23761.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 11664.0, 'learning_rate': 4.000000000000001e-06, 'loss_full': 11248.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.19384765625, 'loss_stop': -0.90625, 'loss_div': 0.0, 'loss_inpaint': 3688.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 101056.0, 'learning_rate': 6e-06, 'loss_full': 100736.0, 'loss_slot_feat': 0.00255584716796875, 'loss_slot_attn': 0.65673828125, 'loss_stop': -0.912109375, 'loss_div': 0.0, 'loss_inpaint': 59736.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 75072.0, 'learning_rate': 8.000000000000001e-06, 'loss_full': 73600.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 1.3662109375, 'loss_stop': -0.865234375, 'loss_div': 0.0, 'loss_inpaint': 132864.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 64996.0, 'learning_rate': 1e-05, 'loss_full': 64904.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.15869140625, 'loss_stop': -0.912109375, 'loss_div': 0.0, 'loss_inpaint': 88576.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 45984.0, 'learning_rate': 9.99726628670463e-06, 'loss_full': 45984.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.3447265625, 'loss_stop': -0.919921875, 'loss_div': 0.0, 'loss_inpaint': 72640.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 67392.0, 'learning_rate': 9.989068136093873e-06, 'loss_full': 67456.0, 'loss_slot_feat': 0.00254058837890625, 'loss_slot_attn': 1.6611328125, 'loss_stop': -0.876953125, 'loss_div': 0.0, 'loss_inpaint': 989.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 19956.0, 'learning_rate': 9.975414512725058e-06, 'loss_full': 19176.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.0765380859375, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 125576.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 62828.0, 'learning_rate': 9.956320346634877e-06, 'loss_full': 64364.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 0.38427734375, 'loss_stop': -0.916015625, 'loss_div': 0.0, 'loss_inpaint': 2192.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 21024.0, 'learning_rate': 9.931806517013612e-06, 'loss_full': 19328.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.23876953125, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 31168.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 710.0, 'learning_rate': 9.901899829374048e-06, 'loss_full': 710.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 0.08154296875, 'loss_stop': -0.890625, 'loss_div': 0.0, 'loss_inpaint': 412.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
