wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100000 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                       
{'loss': 10492.0, 'learning_rate': 2e-09, 'loss_full': 12584.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 0.8154296875, 'loss_stop': -0.81640625, 'loss_div': 0.0, 'loss_inpaint': 24143.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 11360.0, 'learning_rate': 4e-09, 'loss_full': 11248.0, 'loss_slot_feat': 0.0027008056640625, 'loss_slot_attn': 0.208984375, 'loss_stop': -0.919921875, 'loss_div': 0.0, 'loss_inpaint': 3732.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 102528.0, 'learning_rate': 6e-09, 'loss_full': 102016.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 0.6748046875, 'loss_stop': -0.884765625, 'loss_div': 0.0, 'loss_inpaint': 61024.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 76672.0, 'learning_rate': 8e-09, 'loss_full': 75456.0, 'loss_slot_feat': 0.0025482177734375, 'loss_slot_attn': 1.3828125, 'loss_stop': -0.837890625, 'loss_div': 0.0, 'loss_inpaint': 132864.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 63416.0, 'learning_rate': 1e-08, 'loss_full': 63800.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.156982421875, 'loss_stop': -0.890625, 'loss_div': 0.0, 'loss_inpaint': 89984.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 48928.0, 'learning_rate': 1.2e-08, 'loss_full': 47904.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.376708984375, 'loss_stop': -0.890625, 'loss_div': 0.0, 'loss_inpaint': 73792.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 71488.0, 'learning_rate': 1.4000000000000001e-08, 'loss_full': 67328.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 1.7314453125, 'loss_stop': -0.859375, 'loss_div': 0.0, 'loss_inpaint': 1007.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 27624.0, 'learning_rate': 1.6e-08, 'loss_full': 34528.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.076904296875, 'loss_stop': -0.826171875, 'loss_div': 0.0, 'loss_inpaint': 125600.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 87255.25, 'learning_rate': 1.8000000000000002e-08, 'loss_full': 64126.5, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 0.3837890625, 'loss_stop': -0.861328125, 'loss_div': 0.0, 'loss_inpaint': 2192.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 21184.0, 'learning_rate': 2e-08, 'loss_full': 22208.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.23681640625, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 27140.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 1748.0, 'learning_rate': 2.2000000000000002e-08, 'loss_full': 744.0, 'loss_slot_feat': 0.00267791748046875, 'loss_slot_attn': 0.076171875, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 426.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 77136.0, 'learning_rate': 2.4e-08, 'loss_full': 67808.0, 'loss_slot_feat': 0.00255584716796875, 'loss_slot_attn': 0.56982421875, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 119808.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 131136.0, 'learning_rate': 2.6e-08, 'loss_full': 133088.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.517578125, 'loss_stop': -0.892578125, 'loss_div': 0.0, 'loss_inpaint': 4432.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 142464.0, 'learning_rate': 2.8000000000000003e-08, 'loss_full': 143360.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.077880859375, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 110848.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
